system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-22T22:36:32.688590,A,7431,2204,1
2026-03-22T22:36:39.103736,H,13843,2122,1
2026-03-22T22:36:41.113851,A,15854,2086,1
2026-03-22T22:37:12.213757,A,46954,2106,1
2026-03-22T22:37:42.414353,A,77154,1689,1
2026-03-22T22:38:12.614854,A,107354,2132,1
2026-03-22T22:38:42.814723,A,137555,2103,1
2026-03-22T22:39:13.016771,A,167755,2116,1
2026-03-22T22:39:43.164572,A,197903,2103,1
2026-03-22T22:40:13.366930,A,228105,2434,1
2026-03-22T22:40:43.566245,A,258304,2111,1
2026-03-22T22:41:13.764531,A,288504,1757,1
2026-03-22T22:41:39.146546,H,313882,2147,1
2026-03-22T22:41:43.877471,A,318619,2082,1
2026-03-22T22:42:14.084216,A,348820,2121,1
2026-03-22T22:42:44.284425,A,379020,2156,1
2026-03-22T22:43:14.484589,A,409220,2111,1
2026-03-22T22:43:44.684509,A,439420,2115,1
2026-03-22T22:44:14.885958,A,469621,2106,1
2026-03-22T22:44:45.087420,A,499821,2105,1
2026-03-22T22:45:15.287454,A,530021,2151,1
2026-03-22T22:45:45.486763,A,560221,2132,1
2026-03-22T22:46:15.634239,A,590370,2118,1
2026-03-22T22:46:39.138177,H,613870,2134,1
2026-03-22T22:46:45.796307,A,620528,2110,1
2026-03-22T22:47:15.996608,A,650728,2120,1
2026-03-22T22:47:46.198071,A,680928,2195,1
2026-03-22T22:48:16.396613,A,711128,2138,1
2026-03-22T22:48:46.597831,A,741328,2119,1
2026-03-22T22:49:16.794258,A,771528,2122,1
2026-03-22T22:49:46.996485,A,801728,2169,1
2026-03-22T22:50:17.144037,A,831876,2108,1
2026-03-22T22:50:47.346469,A,862079,2244,1
2026-03-22T22:51:17.548394,A,892278,2128,1
2026-03-22T22:51:39.155084,H,913883,2119,1
2026-03-22T22:51:47.703939,A,922431,2114,1
2026-03-22T22:52:17.903289,A,952631,2132,1
2026-03-22T22:52:48.104076,A,982831,2140,1
2026-03-22T22:53:18.304315,A,1013031,2166,1
2026-03-22T22:53:48.505345,A,1043231,2121,1
2026-03-22T22:54:18.656005,A,1073381,2113,1
2026-03-22T22:54:48.856635,A,1103582,1800,1
2026-03-22T22:54:57.244302,A,1111972,2040,1
2026-03-22T22:54:57.266017,A,1111995,1587,1
2026-03-22T22:54:57.293886,A,1112017,1607,1
2026-03-22T22:54:57.317842,A,1112039,1470,1
2026-03-22T22:54:57.344088,A,1112062,1460,1
2026-03-22T22:54:57.366759,A,1112094,1492,1
2026-03-22T22:54:57.396294,A,1112117,1613,1
2026-03-22T22:54:57.418327,A,1112139,1490,1
2026-03-22T22:54:57.444290,A,1112172,1454,1
2026-03-22T22:54:57.469340,A,1112194,1620,1
2026-03-22T22:54:57.494167,A,1112217,1549,1
2026-03-22T22:54:57.520126,A,1112239,1499,1
2026-03-22T22:54:57.546912,A,1112272,1481,1
2026-03-22T22:54:57.570461,A,1112294,1477,1
2026-03-22T22:54:57.597081,A,1112316,1532,1
2026-03-22T22:54:57.615606,A,1112339,1430,1
2026-03-22T22:54:57.644207,A,1112372,2072,1
2026-03-22T22:54:57.663881,A,1112394,1607,1
2026-03-22T22:54:57.696064,A,1112417,1532,1
2026-03-22T22:54:57.716348,A,1112439,1470,1
2026-03-22T22:54:57.744131,A,1112472,1812,1
2026-03-22T22:54:57.764197,A,1112494,1458,1
2026-03-22T22:54:57.794291,A,1112517,1451,1
2026-03-22T22:54:57.822367,A,1112539,1422,1
2026-03-22T22:54:57.846050,A,1112571,1439,1
2026-03-22T22:54:57.869074,A,1112594,1465,1
2026-03-22T22:54:57.898095,A,1112617,2269,1
2026-03-22T22:54:57.923173,A,1112639,1530,1
2026-03-22T22:54:57.947824,A,1112672,1439,1
2026-03-22T22:54:57.974038,A,1112694,1491,1
2026-03-22T22:54:57.998976,A,1112716,1413,1
2026-03-22T22:54:58.023363,A,1112749,1899,1
2026-03-22T22:54:58.068656,A,1112771,1426,1
2026-03-22T22:54:58.096167,A,1112794,1484,1
2026-03-22T22:54:58.119706,A,1112816,1436,1
2026-03-22T22:54:58.145890,A,1112838,1502,1
2026-03-22T22:54:58.171829,A,1112870,1422,1
2026-03-22T22:54:58.196077,A,1112893,1442,1
2026-03-22T22:54:58.220011,A,1112915,1848,1
2026-03-22T22:54:58.246728,A,1112948,1533,1
2026-03-22T22:54:58.295766,A,1112970,1441,1
2026-03-22T22:54:58.316430,A,1112992,1406,1
2026-03-22T22:54:58.343995,A,1113015,1463,1
2026-03-22T22:54:58.366316,A,1113047,1591,1
2026-03-22T22:54:58.395969,A,1113070,1450,1
2026-03-22T22:54:58.420466,A,1113093,1921,1
2026-03-22T22:54:58.446160,A,1113115,1439,1
2026-03-22T22:54:58.470907,A,1113148,1572,1
2026-03-22T22:54:58.495968,A,1113170,1440,1
2026-03-22T22:54:58.521807,A,1113192,1441,1
2026-03-22T22:54:58.546434,A,1113215,1453,1
2026-03-22T22:54:58.572149,A,1113247,1564,1
2026-03-22T22:54:58.595410,A,1113270,1455,1
2026-03-22T22:54:58.618805,A,1113292,1450,1
2026-03-22T22:54:58.643850,A,1113315,1999,1
2026-03-22T22:54:58.669107,A,1113347,1576,1
2026-03-22T22:54:58.696543,A,1113370,1414,1
2026-03-22T22:54:58.723117,A,1113392,1421,1
2026-03-22T22:54:58.745013,A,1113414,1442,1
2026-03-22T22:54:58.773078,A,1113447,1491,1
2026-03-22T22:54:58.798306,A,1113469,1405,1
2026-03-22T22:54:58.823507,A,1113491,1456,1
2026-03-22T22:54:58.845955,A,1113524,1418,1
2026-03-22T22:54:58.893820,A,1113546,1518,1
2026-03-22T22:54:58.920786,A,1113568,1271,1
2026-03-22T22:54:58.944136,A,1113590,1238,1
2026-03-22T22:54:58.970872,A,1113623,1321,1
2026-03-22T22:54:58.997512,A,1113645,1562,1
2026-03-22T22:54:59.023980,A,1113667,1473,1
2026-03-22T22:54:59.048694,A,1113690,1401,1
2026-03-22T22:54:59.071699,A,1113722,1457,1
2026-03-22T22:54:59.093799,A,1113745,1563,1
