system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-22T23:25:34.734649,H,16315,2338,1
2026-03-22T23:30:34.584859,H,316159,2135,1
2026-03-22T23:30:41.984915,A,323559,2073,1
2026-03-22T23:30:42.636923,A,324209,2022,1
2026-03-22T23:35:34.562538,H,616128,1716,1
2026-03-22T23:35:42.256047,A,623828,2079,1
2026-03-22T23:35:43.206039,A,624778,2081,1
2026-03-22T23:40:34.618596,H,916180,2118,1
2026-03-22T23:40:42.484730,A,924048,2088,1
2026-03-22T23:40:43.961923,A,925524,2121,1
2026-03-22T23:45:34.619188,H,1216176,2137,1
2026-03-22T23:45:42.738952,A,1224299,2091,1
2026-03-22T23:45:44.786079,A,1226344,2094,1
