system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-14T19:04:11.841035,M,6742,3264365,1
2026-03-14T19:04:13.970478,H,8846,2356,1
2026-03-14T19:09:13.932839,H,308798,2173,1
2026-03-14T19:14:13.938682,H,608800,2163,1
2026-03-14T19:16:31.513689,A,746360,2113,1
2026-03-14T19:16:31.538052,A,746391,1546,1
2026-03-14T19:16:31.610480,A,746473,2099,1
2026-03-14T19:16:31.630579,A,746496,1502,1
2026-03-14T19:16:31.700169,A,746568,1924,1
2026-03-14T19:16:31.729558,A,746590,1479,1
2026-03-14T19:16:31.798512,A,746663,1905,1
2026-03-14T19:16:31.870916,A,746736,1993,1
2026-03-14T19:16:31.897874,A,746758,1463,1
2026-03-14T19:16:31.968460,A,746831,2045,1
2026-03-14T19:16:31.991943,A,746853,1456,1
2026-03-14T19:16:32.063441,A,746926,2003,1
2026-03-14T19:16:32.087893,A,746948,1481,1
2026-03-14T19:16:32.158359,A,747021,1996,1
2026-03-14T19:16:32.178709,A,747044,1761,1
2026-03-14T19:16:32.266023,A,747116,1473,1
2026-03-14T19:16:32.325122,A,747188,1545,1
2026-03-14T19:16:32.348691,A,747210,1458,1
2026-03-14T19:16:32.418702,A,747282,1406,1
2026-03-14T19:16:32.443305,A,747304,1878,1
2026-03-14T19:16:32.510528,A,747377,1957,1
2026-03-14T19:16:32.538558,A,747400,1584,1
2026-03-14T19:16:32.609301,A,747472,1927,1
2026-03-14T19:16:32.632136,A,747494,1563,1
2026-03-14T19:16:32.702475,A,747567,1949,1
2026-03-14T19:16:32.775322,A,747640,1998,1
2026-03-14T19:16:32.801890,A,747662,1491,1
2026-03-14T19:16:32.872145,A,747735,1533,1
2026-03-14T19:16:32.893418,A,747757,1486,1
2026-03-14T19:16:32.960546,A,747829,2003,1
2026-03-14T19:16:32.988383,A,747851,1519,1
2026-03-14T19:16:33.061025,A,747924,2012,1
2026-03-14T19:16:33.078707,A,747947,1613,1
2026-03-14T19:16:33.155314,A,748019,1462,1
2026-03-14T19:16:33.228125,A,748091,1406,1
2026-03-14T19:16:33.248495,A,748113,1573,1
2026-03-14T19:16:33.321075,A,748185,1932,1
2026-03-14T19:16:33.343675,A,748207,1300,1
2026-03-14T19:16:33.411998,A,748280,1993,1
2026-03-14T19:16:33.441465,A,748302,1501,1
2026-03-14T19:16:33.512515,A,748375,2037,1
2026-03-14T19:16:33.530847,A,748398,1517,1
2026-03-14T19:16:33.601861,A,748470,1697,1
2026-03-14T19:16:33.628706,A,748492,1500,1
2026-03-14T19:16:33.698583,A,748565,1518,1
2026-03-14T19:16:33.772974,A,748637,2049,1
2026-03-14T19:16:33.798739,A,748660,1587,1
2026-03-14T19:16:33.868633,A,748733,2350,1
2026-03-14T19:16:33.892328,A,748755,1600,1
2026-03-14T19:16:33.959971,A,748827,1508,1
2026-03-14T19:16:33.987999,A,748849,1472,1
2026-03-14T19:16:34.058381,A,748921,1120,1
2026-03-14T19:16:34.078473,A,748944,1518,1
2026-03-14T19:16:34.150871,A,749016,1908,1
2026-03-14T19:16:34.225215,A,749089,1979,1
2026-03-14T19:16:34.250463,A,749112,2201,1
2026-03-14T19:16:34.320606,A,749185,1724,1
2026-03-14T19:16:34.345451,A,749207,1409,1
2026-03-14T19:16:34.415788,A,749279,1979,1
2026-03-14T19:16:34.440704,A,749301,1454,1
2026-03-14T19:16:34.509641,A,749374,2015,1
2026-03-14T19:16:34.535157,A,749397,1531,1
2026-03-14T19:16:34.606161,A,749469,2005,1
