index,latency_s,arrival_time,sent_gps_time,payload
0,1,1771455927,1771455926,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260619,""longitude"":-123.250251,""altitude"":104.20,""hdop"":1.24,""satellites"":9,""datetime"":""2026/02/18,23:05:26"",""resultant_acc"":1.28,""resultant_gyro"":0.41,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
1,0,1771455957,1771455957,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260650,""longitude"":-123.250243,""altitude"":92.60,""hdop"":1.24,""satellites"":10,""datetime"":""2026/02/18,23:05:57"",""resultant_acc"":1.29,""resultant_gyro"":0.76,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
2,0,1771455987,1771455987,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260662,""longitude"":-123.250255,""altitude"":97.10,""hdop"":1.61,""satellites"":10,""datetime"":""2026/02/18,23:06:27"",""resultant_acc"":1.29,""resultant_gyro"":0.53,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
3,-1,1771456017,1771456018,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260633,""longitude"":-123.250245,""altitude"":97.30,""hdop"":1.61,""satellites"":9,""datetime"":""2026/02/18,23:06:58"",""resultant_acc"":1.29,""resultant_gyro"":0.86,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
4,0,1771456047,1771456047,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260632,""longitude"":-123.250248,""altitude"":99.20,""hdop"":1.61,""satellites"":9,""datetime"":""2026/02/18,23:07:27"",""resultant_acc"":1.29,""resultant_gyro"":0.59,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
5,-2,1771456077,1771456079,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260593,""longitude"":-123.250253,""altitude"":108.50,""hdop"":1.61,""satellites"":9,""datetime"":""2026/02/18,23:07:59"",""resultant_acc"":1.30,""resultant_gyro"":0.61,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
6,2,1771456125,1771456123,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260632,""longitude"":-123.250231,""altitude"":110.40,""hdop"":1.10,""satellites"":8,""datetime"":""2026/02/18,23:08:43"",""resultant_acc"":1.29,""resultant_gyro"":0.62,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
7,4,1771456155,1771456151,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260641,""longitude"":-123.250193,""altitude"":113.90,""hdop"":1.45,""satellites"":8,""datetime"":""2026/02/18,23:09:11"",""resultant_acc"":1.29,""resultant_gyro"":0.76,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
8,3,1771456185,1771456182,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260644,""longitude"":-123.250191,""altitude"":114.80,""hdop"":1.45,""satellites"":8,""datetime"":""2026/02/18,23:09:42"",""resultant_acc"":1.30,""resultant_gyro"":0.39,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
9,2,1771456215,1771456213,"{""worker_id"": 10,""modulesOnline"":[0,0],""latitude"":49.260645,""longitude"":-123.250209,""altitude"":111.00,""hdop"":1.44,""satellites"":8,""datetime"":""2026/02/18,23:10:13"",""resultant_acc"":1.30,""resultant_gyro"":0.54,""aqi_pm25_us"":0.00,""aqi_pm100_us"":0.00,""aqi_uba"":0.00,""noise_db"":0.00}"
